Feature,Baseline_Mean_Abs_SHAP,Dropout_Mean_Abs_SHAP,Baseline_Rank,Dropout_Rank,Rank_Change
age,0.5951192595712593,0.6993674331997966,1,1,0
marital-status_Married-civ-spouse,0.48565872200956584,0.6348822020869119,2,2,0
education-num,0.4277432676050112,0.4689927088421511,3,3,0
marital-status_Never-married,0.31065390062841636,0.42759152271974593,4,4,0
capital-gain,0.3017107121020225,0.3020480893477007,5,6,-1
hours-per-week,0.29010341578118687,0.37261935696009574,6,5,1
relationship_Husband,0.23840265973127972,0.17151460893211443,7,8,-1
relationship_Not-in-family,0.15610684270260608,0.12416401808048541,8,13,-5
relationship_Own-child,0.15275735575348376,0.17525590517357917,9,7,2
occupation_Exec-managerial,0.15113803882178536,0.1435460658028956,10,11,-1
sex_Male,0.15113436511477196,0.12592720423516804,11,12,-1
occupation_Prof-specialty,0.13568647336345457,0.14694287742344592,12,10,2
marital-status_Divorced,0.10478513605768684,0.10518842034353577,13,17,-4
capital-loss,0.09996323924110362,0.14761687915546992,14,9,5
occupation_Other-service,0.09832195789817778,0.08852970349872918,15,18,-3
fnlwgt,0.08658420851051339,0.0666635513757554,16,23,-7
education_HS-grad,0.08063506579055688,0.1211580878351342,17,15,2
occupation_Farming-fishing,0.05987140427188718,0.06564993290752175,18,24,-6
race_Black,0.057260635984307744,0.12154972784264245,19,14,5
relationship_Wife,0.057088050076412086,0.07257121919219213,20,20,0
relationship_Unmarried,0.05414471713060046,0.047144404912900055,21,29,-8
occupation_Sales,0.05298984472219596,0.06384408985330672,22,25,-3
workclass_Private,0.05289588475744783,0.057046494792591725,23,27,-4
sex_Female,0.052641489814103985,0.11420133739022717,24,16,8
occupation_Craft-repair,0.0517098384631034,0.027796653037415648,25,37,-12
education_Assoc-acdm,0.049162226108874926,0.05877033417543712,26,26,0
race_White,0.04862848412212039,0.08035699998689083,27,19,8
occupation_Handlers-cleaners,0.04776015028533584,0.06722181193096621,28,22,6
education_Some-college,0.04721215099267499,0.054623419540286704,29,28,1
occupation_Machine-op-inspct,0.046059324236776576,0.06968195670974967,30,21,9
occupation_Tech-support,0.043113595002412325,0.038966060454986254,31,30,1
occupation_Adm-clerical,0.04128353018827184,0.03305385985496541,32,34,-2
education_Bachelors,0.038732932606064065,0.024844147588095805,33,39,-6
workclass_State-gov,0.03834181885778162,0.033909869047868385,34,33,1
native-country_United-States,0.03716764478310946,0.026905637465348988,35,38,-3
