Feature,Baseline_Mean_Abs_SHAP,Dropout_Mean_Abs_SHAP,Baseline_Rank,Dropout_Rank,Rank_Change
char_freq_%21,0.4784167107286257,0.4811460056329415,1,2,-1
word_freq_hp,0.4196193312820793,0.5304995829296203,2,1,1
word_freq_remove,0.33558165963071734,0.33039447692782775,3,6,-3
word_freq_000,0.3312120742077035,0.3525332702178896,4,3,1
word_freq_our,0.28284302814881773,0.2955034744662198,5,8,-3
word_freq_free,0.27076207346568193,0.3169063246172494,6,7,-1
char_freq_%24,0.26558031770738,0.3380647115780219,7,4,3
word_freq_your,0.2616457074879605,0.27534312381546805,8,10,-2
capital_run_length_total,0.22908555385157808,0.21952455271111235,9,13,-4
word_freq_re,0.22103248965775624,0.262453844610518,10,12,-2
word_freq_hpl,0.21674694233307715,0.3308151126600596,11,5,6
word_freq_1999,0.21165964443688018,0.20363277811557837,12,15,-3
word_freq_george,0.21130419418671267,0.27069294687081485,13,11,2
word_freq_business,0.19703535667710897,0.21876542250702719,14,14,0
word_freq_edu,0.18918475798699239,0.27741197245130084,15,9,6
word_freq_money,0.17268821661599765,0.17540385287838275,16,19,-3
word_freq_will,0.17125020617853143,0.17566061291606744,17,18,-1
word_freq_internet,0.16707285252420756,0.17796079337707715,18,17,1
word_freq_you,0.15597181197730894,0.16003451724663992,19,20,-1
capital_run_length_longest,0.15002891882691002,0.1387741742906678,20,22,-2
word_freq_85,0.13514658250706377,0.18612112163052077,21,16,5
word_freq_font,0.12585624634277415,0.09903886781348957,22,27,-5
word_freq_order,0.12162482071260866,0.10088728626864986,23,26,-3
word_freq_650,0.11510066423477217,0.08111491320707762,24,34,-10
word_freq_technology,0.11195387167056514,0.14592450629264264,25,21,4
word_freq_over,0.10707669593612888,0.08386986228796799,26,33,-7
word_freq_all,0.10541017962116442,0.08967088600925997,27,30,-3
word_freq_meeting,0.1006100239340453,0.13654468692498337,28,23,5
char_freq_%28,0.0976642340298464,0.07106735183416837,29,40,-11
char_freq_%3B,0.09724370115438552,0.1231261563017401,30,25,5
word_freq_receive,0.09378949182039914,0.09299068252689656,31,28,3
word_freq_make,0.09042455404255001,0.051462572203652544,32,46,-14
word_freq_project,0.08537662632627226,0.1287042577311313,33,24,9
word_freq_addresses,0.08526125295622272,0.07072186938707187,34,41,-7
word_freq_pm,0.08199055584747211,0.06792248650881891,35,43,-8
word_freq_people,0.08192145902214057,0.08894398074438475,36,31,5
word_freq_labs,0.07671781891038357,0.06141769035008406,37,45,-8
word_freq_email,0.07527916628789359,0.07248830458435035,38,38,0
word_freq_direct,0.07388978209368162,0.04532076420755302,39,48,-9
word_freq_lab,0.07339855607936059,0.06632056529283448,40,44,-4
word_freq_mail,0.07111862762330373,0.051244378212314576,41,47,-6
word_freq_857,0.06573826679433914,0.023016438065036882,42,53,-11
word_freq_415,0.06502059970724297,0.07610171808031377,43,35,8
word_freq_credit,0.05626079939681511,0.08713767125162133,44,32,12
word_freq_original,0.05468998764207023,0.07153569859142223,45,39,6
word_freq_data,0.053588335916211066,0.06844186033198539,46,42,4
char_freq_%23,0.05216235563101677,0.0917676334858984,47,29,18
word_freq_conference,0.049212500403133366,0.07250524626737055,48,37,11
word_freq_address,0.048220368153308275,0.07471449009664853,49,36,13
word_freq_report,0.047418789852978954,0.022239669645397555,50,54,-4
word_freq_telnet,0.047245049416557466,0.03948852688705843,51,50,1
char_freq_%5B,0.030272352863753266,0.03903954198874788,52,51,1
word_freq_cs,0.02908590616435161,0.04250095135181037,53,49,4
word_freq_3d,0.016000828890750787,0.017003384606785136,54,55,-1
capital_run_length_average,0.012948331336924397,0.030433395009903323,55,52,3
word_freq_table,0.005002617779821592,0.005067505368464984,56,56,0
word_freq_parts,0.00484734464183723,0.002737133924192911,57,57,0
